zip,work_outside_home,Commute,beh_read,beh_type,beh_handheld,beh_handfree,beh_app,acc_handheld,acc_handfree,acc_read,acc_type,acc_app,threat_talk,threat_type,threat_aggressive,threat_spdfwy,threat_spdres,threat_lights,threat_asleep,threat_alcohol,threat_cannabis,threat_app,legal_addgps,legal_gps1819,legal_handheld,legal_handheldstop,legal_handheldspkr,legal_911,legal_camera,legal_music1819,legal_readstop,legal_typestop,legal_handfree,legal_app1819,legal_video,will30_handheld,will30_type,will30_app,willever_tixtalk,willever_tixtext,willever_crashtalk,willever_crashtext,stop_family,stop_friends,stop_pass,stop_bt,stop_tix124,stop_tix240,stop_ins,stop_work,stop_app,stop_block,stop_crash,stop_kill,stop_none,Gender,Age,agegrp1,Race,Education,Income,drive30days,Urbanicity,weight,year,month,day,latitude,longitutde
98001,1,1.0,Fairly Often,Fairly Often,Rarely,Never,Rarely,Somewhat Unacceptable,Somewhat Acceptable,Somewhat Unacceptable,Somewhat Unacceptable,Somewhat Unacceptable,Very Serious Threat,Threat,Threat,Not a Threat,Threat,Very Serious Threat,Very Serious Threat,Very Serious Threat,Threat,Threat,Illegal,Legal,Illegal,Illegal,Illegal,Not Sure,Illegal,Legal,Illegal,Illegal,Legal,Illegal,Illegal,Somewhat Likely,Somewhat Likely,Somewhat Likely,Very Unlikely,Very Unlikely,Very Unlikely,Very Unlikely,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Male,46,2,White,Some College,$80K - $120K,Yes,Suburban,0.611520575,2018,6,17,47.310617,-122.263291
98052,1,1.0,Never,Never,Never,Fairly Often,Rarely,Completely Unacceptable,Completely Unacceptable,Completely Unacceptable,Completely Unacceptable,Completely Unacceptable,Threat,Very Serious Threat,Very Serious Threat,Very Serious Threat,Very Serious Threat,Very Serious Threat,Very Serious Threat,Very Serious Threat,Very Serious Threat,Very Serious Threat,Illegal,Legal,Illegal,Illegal,Illegal,Not Sure,Illegal,Illegal,Illegal,Illegal,Not Sure,Illegal,Illegal,Very Unlikely,Very Unlikely,Very Unlikely,Very Unlikely,Very Unlikely,Very Unlikely,Very Unlikely,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Male,38,2,Asian,Associate's / Bachelor's,$80K - $120K,No,Suburban,1.077167593,2018,6,17,47.68099,-122.120531
98042,1,1.0,Never,Never,Fairly Often,Fairly Often,Never,Completely Unacceptable,Somewhat Acceptable,Completely Unacceptable,Completely Unacceptable,Completely Unacceptable,Not a Threat,Very Serious Threat,Very Serious Threat,Very Serious Threat,Very Serious Threat,Very Serious Threat,Very Serious Threat,Very Serious Threat,Very Serious Threat,Very Serious Threat,Illegal,Legal,Legal,Legal,Illegal,Legal,Not Sure,Not Sure,Illegal,Illegal,Legal,Illegal,Illegal,Very Unlikely,Very Unlikely,Very Unlikely,Very Unlikely,Very Unlikely,Very Unlikely,Very Unlikely,No,No,No,No,No,No,No,No,No,No,No,No,No,Female,63,3,White,High School,$120 - $160K,Yes,Suburban,1.459665935,2018,6,17,47.367737,-122.117029
98028,2,,Never,Never,Never,Never,Never,Completely Unacceptable,Completely Accptable,Completely Unacceptable,Completely Unacceptable,Completely Unacceptable,Very Serious Threat,Very Serious Threat,Threat,Very Serious Threat,Very Serious Threat,Very Serious Threat,Very Serious Threat,Very Serious Threat,Very Serious Threat,Very Serious Threat,Not Sure,Not Sure,Legal,Not Sure,Not Sure,Legal,Not Sure,Legal,Not Sure,Not Sure,Legal,Illegal,Illegal,Very Unlikely,Very Unlikely,Very Unlikely,Very Unlikely,Very Unlikely,Very Unlikely,Very Unlikely,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Female,41,2,White,High School,< $40K,No,Suburban,0.602724529,2018,6,17,47.755665,-122.248061
98003,2,,Never,Never,Never,Rarely,Never,Somewhat Unacceptable,Somewhat Unacceptable,Completely Unacceptable,Completely Unacceptable,Completely Unacceptable,Threat,Very Serious Threat,Very Serious Threat,Very Serious Threat,Very Serious Threat,Very Serious Threat,Very Serious Threat,Very Serious Threat,Very Serious Threat,Very Serious Threat,Illegal,Illegal,Illegal,Illegal,Illegal,Not Sure,Illegal,Not Sure,Illegal,Illegal,Illegal,Illegal,Illegal,Somewhat Unlikely,Somewhat Unlikely,Somewhat Unlikely,Very Unlikely,Very Unlikely,Very Unlikely,Very Unlikely,No,No,No,No,No,No,No,No,No,No,No,No,No,Female,39,2,Asian,Associate's / Bachelor's,$40K - $80K,Yes,Suburban,0.498098705,2018,6,17,47.304801,-122.316969
98006,2,,Never,Never,Never,Rarely,Never,Somewhat Unacceptable,Completely Accptable,Somewhat Unacceptable,Somewhat Unacceptable,Somewhat Unacceptable,Threat,Very Serious Threat,Very Serious Threat,Not a Threat,Threat,Threat,Very Serious Threat,Very Serious Threat,Very Serious Threat,Threat,Illegal,Legal,Illegal,Illegal,Illegal,Illegal,Illegal,Illegal,Illegal,Illegal,Legal,Illegal,Illegal,Very Unlikely,Very Unlikely,Very Unlikely,Very Unlikely,Very Unlikely,Very Unlikely,Very Unlikely,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,No,Female,73,4,White,Associate's / Bachelor's,> $160K,No,Suburban,2.33654296,2018,6,17,47.557627,-122.151005
98109,1,3.0,Never,Never,Never,Never,Never,Completely Unacceptable,Somewhat Unacceptable,Somewhat Unacceptable,Completely Unacceptable,Completely Unacceptable,Very Serious Threat,Very Serious Threat,Very Serious Threat,Very Serious Threat,Very Serious Threat,Very Serious Threat,Very Serious Threat,Very Serious Threat,Very Serious Threat,Very Serious Threat,Legal,Legal,Legal,Legal,Legal,Legal,Legal,Legal,Legal,Legal,Legal,Legal,Not Sure,Very Unlikely,Very Unlikely,Very Unlikely,Very Unlikely,Very Unlikely,Very Unlikely,Very Unlikely,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Male,31,1,Asian,Master's Or Higher,> $160K,No,Urban,2.263032186,2018,6,17,47.631863,-122.344267
98168,2,,Never,Never,Never,Never,Never,Completely Unacceptable,Somewhat Unacceptable,Completely Unacceptable,Completely Unacceptable,Completely Unacceptable,Threat,Very Serious Threat,Threat,Not a Threat,Threat,Threat,Very Serious Threat,Very Serious Threat,Very Serious Threat,Very Serious Threat,Illegal,Not Sure,Illegal,Illegal,Illegal,Not Sure,Illegal,Illegal,Illegal,Illegal,Not Sure,Illegal,Illegal,Very Unlikely,Very Unlikely,Very Unlikely,Very Unlikely,Very Unlikely,Very Unlikely,Very Unlikely,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Female,49,2,White,Associate's / Bachelor's,$120 - $160K,Yes,Urban,1.890664753,2018,6,17,47.489569,-122.29996
98038,1,1.0,Never,Never,Rarely,Never,Fairly Often,Not Sure,Not Sure,Somewhat Unacceptable,Somewhat Unacceptable,Not Sure,Not Sure,Threat,Threat,Not Sure,Threat,Threat,Very Serious Threat,Very Serious Threat,Threat,Not Sure,Illegal,Not Sure,Illegal,Illegal,Illegal,Legal,Illegal,Not Sure,Illegal,Illegal,Legal,Not Sure,Illegal,Somewhat Likely,Very Unlikely,Somewhat Likely,Not Sure,Very Unlikely,Very Unlikely,Very Unlikely,No,No,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Female,35,2,White,Associate's / Bachelor's,< $40K,Yes,Suburban,0.602724529,2018,6,17,47.419378,-121.958008
98008,1,1.0,Regularly,Rarely,Rarely,Fairly Often,Fairly Often,Somewhat Acceptable,Completely Accptable,Somewhat Unacceptable,Completely Unacceptable,Somewhat Acceptable,Not a Threat,Very Serious Threat,Threat,Not At All a Threat,Very Serious Threat,Very Serious Threat,Very Serious Threat,Very Serious Threat,Very Serious Threat,Not a Threat,Illegal,Illegal,Illegal,Illegal,Illegal,Legal,Not Sure,Not Sure,Illegal,Illegal,Legal,Illegal,Illegal,Somewhat Likely,Very Unlikely,Somewhat Unlikely,Very Unlikely,Very Unlikely,Very Unlikely,Very Unlikely,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No,Female,20,1,White,Some College,$80K - $120K,Yes,Suburban,0.98247831,2018,6,17,47.605797,-122.099118
98028,1,1.0,Never,Never,Never,Fairly Often,Never,Completely Unacceptable,Somewhat Acceptable,Completely Unacceptable,Completely Unacceptable,Completely Unacceptable,Threat,Very Serious Threat,Threat,Threat,Threat,Very Serious Threat,Very Serious Threat,Very Serious Threat,Very Serious Threat,Threat,Illegal,Legal,Illegal,Not Sure,Illegal,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Legal,Illegal,Illegal,Very Unlikely,Very Unlikely,Very Unlikely,Very Unlikely,Very Unlikely,Very Unlikely,Very Unlikely,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,Female,46,2,White,Associate's / Bachelor's,$80K - $120K,Yes,Suburban,0.756265901,2018,6,17,47.755665,-122.248061
98038,2,,Never,Never,Never,Never,Never,Somewhat Unacceptable,Somewhat Unacceptable,Somewhat Unacceptable,Somewhat Unacceptable,Somewhat Unacceptable,Very Serious Threat,Very Serious Threat,Very Serious Threat,Very Serious Threat,Threat,Very Serious Threat,Very Serious Threat,Very Serious Threat,Very Serious Threat,Very Serious Threat,Legal,Legal,Illegal,Illegal,Illegal,Not Sure,Not Sure,Illegal,Not Sure,Not Sure,Not Sure,Illegal,Illegal,Very Unlikely,Very Unlikely,Very Unlikely,Somewhat Likely,Somewhat Likely,Very Likely,Very Likely,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Male,78,4,Asian,Associate's / Bachelor's,< $40K,Yes,Suburban,6.422862646,2018,6,17,47.419378,-121.958008
98122,1,3.0,Never,Never,Never,Never,Never,Completely Unacceptable,Somewhat Acceptable,Completely Unacceptable,Completely Unacceptable,Completely Unacceptable,Threat,Threat,Threat,Threat,Very Serious Threat,Very Serious Threat,Very Serious Threat,Very Serious Threat,Threat,Threat,Not Sure,Legal,Not Sure,Not Sure,Not Sure,Legal,Not Sure,Not Sure,Not Sure,Not Sure,Legal,Not Sure,Not Sure,Very Unlikely,Very Unlikely,Very Unlikely,Very Unlikely,Very Unlikely,Very Unlikely,Very Unlikely,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Female,34,1,White,Associate's / Bachelor's,< $40K,No,Urban,0.514611982,2018,6,17,47.611046,-122.293207
98118,2,,Just Once,Never,Never,Never,Never,Somewhat Unacceptable,Not Sure,Somewhat Unacceptable,Completely Unacceptable,Somewhat Unacceptable,Threat,Very Serious Threat,Very Serious Threat,Threat,Threat,Threat,Very Serious Threat,Very Serious Threat,Very Serious Threat,Threat,Illegal,Legal,Illegal,Illegal,Illegal,Legal,Not Sure,Not Sure,Illegal,Illegal,Legal,Not Sure,Illegal,Very Unlikely,Very Unlikely,Very Unlikely,Very Unlikely,Very Unlikely,Very Unlikely,Very Unlikely,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Female,43,2,Asian,Associate's / Bachelor's,$40K - $80K,Yes,Urban,0.498098705,2018,6,17,47.540246,-122.268545
98029,1,1.0,Rarely,Never,Fairly Often,Fairly Often,Rarely,Somewhat Unacceptable,Completely Unacceptable,Completely Unacceptable,Completely Unacceptable,Completely Unacceptable,Threat,Threat,Threat,Threat,Very Serious Threat,Very Serious Threat,Very Serious Threat,Very Serious Threat,Very Serious Threat,Threat,Illegal,Legal,Illegal,Illegal,Illegal,Not Sure,Illegal,Illegal,Illegal,Illegal,Not Sure,Illegal,Illegal,Not Sure,Very Unlikely,Very Unlikely,Very Unlikely,Very Unlikely,Very Unlikely,Very Unlikely,No,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Male,30,1,Asian,Associate's / Bachelor's,$40K - $80K,Yes,Suburban,0.763773363,2018,6,17,47.557085,-122.007748
98148,2,,Never,Never,Never,Never,Never,Somewhat Unacceptable,Somewhat Acceptable,Somewhat Unacceptable,Somewhat Unacceptable,Somewhat Unacceptable,Threat,Threat,Threat,Not a Threat,Threat,Threat,Threat,Threat,Threat,Threat,Not Sure,Legal,Illegal,Illegal,Illegal,Legal,Not Sure,Not Sure,Not Sure,Not Sure,Legal,Not Sure,Illegal,Very Unlikely,Very Unlikely,Very Unlikely,Very Unlikely,Very Unlikely,Very Unlikely,Very Unlikely,No,No,No,No,No,No,No,No,No,No,No,No,No,Female,29,1,White,Associate's / Bachelor's,< $40K,No,Suburban,0.514611982,2018,6,17,47.444098,-122.324859
98052,1,1.0,Never,Never,Rarely,Fairly Often,Rarely,Somewhat Unacceptable,Somewhat Acceptable,Somewhat Unacceptable,Completely Unacceptable,Somewhat Unacceptable,Threat,Very Serious Threat,Threat,Threat,Very Serious Threat,Very Serious Threat,Very Serious Threat,Very Serious Threat,Very Serious Threat,Threat,Illegal,Legal,Illegal,Illegal,Illegal,Legal,Illegal,Illegal,Illegal,Illegal,Legal,Illegal,Illegal,Somewhat Unlikely,Somewhat Unlikely,Somewhat Likely,Somewhat Unlikely,Very Unlikely,Somewhat Unlikely,Very Unlikely,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,Female,37,2,White,Master's Or Higher,> $160K,Yes,Suburban,1.831061862,2018,6,17,47.68099,-122.120531
