,zip,work_outside_home,Commute,beh_read,beh_type,beh_handheld,beh_handfree,beh_app,acc_handheld,acc_handfree,acc_read,acc_type,acc_app,threat_talk,threat_type,threat_aggressive,threat_spdfwy,threat_spdres,threat_lights,threat_asleep,threat_alcohol,threat_cannabis,threat_app,legal_addgps,legal_gps1819,legal_handheld,legal_handheldstop,legal_handheldspkr,legal_911,legal_camera,legal_music1819,legal_readstop,legal_typestop,legal_handfree,legal_app1819,legal_video,will30_handheld,will30_type,will30_app,willever_tixtalk,willever_tixtext,willever_crashtalk,willever_crashtext,stop_family,stop_friends,stop_pass,stop_bt,stop_tix124,stop_tix240,stop_ins,stop_work,stop_app,stop_block,stop_crash,stop_kill,stop_none,Gender,Age,agegrp1,Race,Education,Income,drive30days,Urbanicity,weight,Language,legal_gps2122,legal_music2122,legal_app2122,year,month,day,beh_score,acc_score,threat_score,legal_score,will_score,Nonawareness_score
0,98001,1,1.0,2,2,3,5,3,3,2,3,3,3,1,2,2,3,2,1,1,1,2,2,2,1.0,2,2,2,2,2,1.0,2,2,1,2.0,2,2,2,2,4,4,4,4,2,2,2,1,2,2,2,2,1,2,2,2,2,1,46,2,3,2,3,1,2.0,0.611520575,,,,,2018,6,17,10,6,17,9.0,6,88.0
1,98052,1,1.0,5,5,5,2,3,4,4,4,4,4,2,1,1,1,1,1,1,1,1,1,2,1.0,2,2,2,2,2,2.0,2,2,2,2.0,2,4,4,4,4,4,4,4,2,2,2,1,2,2,2,2,2,2,2,2,2,1,38,2,4,3,3,2,2.0,1.077167593,,,,,2018,6,17,2,0,11,7.0,0,18.0
2,98042,1,1.0,5,5,2,2,5,4,2,4,4,4,3,1,1,1,1,1,1,1,1,1,2,1.0,1,1,2,1,2,2.0,2,2,1,2.0,2,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,63,3,3,1,4,1,2.0,1.459665935,,,,,2018,6,17,3,2,12,11.0,0,53.0
3,98028,2,,5,5,5,5,5,4,1,4,4,4,1,1,2,1,1,1,1,1,1,1,2,1.0,1,2,2,1,2,1.0,1,1,1,2.0,2,4,4,4,4,4,4,4,1,1,2,1,1,1,1,2,1,1,1,2,2,2,41,2,3,1,1,2,2.0,0.602724529,,,,,2018,6,17,0,3,11,13.0,0,26.5
4,98003,2,,5,5,5,3,5,3,3,4,4,4,2,1,1,1,1,1,1,1,1,1,2,2.0,2,2,2,2,2,2.0,2,2,2,2.0,2,3,3,3,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,39,2,4,3,2,1,2.0,0.498098705,,,,,2018,6,17,0,2,11,6.0,3,40.0
5,98006,2,,5,5,5,3,5,3,1,3,3,3,2,1,1,3,2,2,1,1,1,2,2,1.0,2,2,2,2,2,2.0,2,2,1,2.0,2,4,4,4,4,4,4,4,2,2,2,1,2,2,2,2,2,2,1,1,2,2,73,4,3,3,5,2,2.0,2.33654296,,,,,2018,6,17,0,7,16,8.0,0,23.5
6,98109,1,3.0,5,5,5,5,5,4,3,3,4,4,1,1,1,1,1,1,1,1,1,1,1,1.0,1,1,1,1,1,1.0,1,1,1,1.0,1,4,4,4,4,4,4,4,1,1,1,1,2,2,2,1,1,1,1,1,2,1,31,1,4,4,5,2,1.0,2.263032186,,,,,2018,6,17,0,2,10,19.0,0,34.5
7,98168,2,,5,5,5,5,5,4,3,4,4,4,2,1,2,3,2,2,1,1,1,1,2,1.0,2,2,2,2,2,2.0,2,2,2,2.0,2,4,4,4,4,4,4,4,1,1,1,2,1,1,1,2,2,2,1,1,2,2,49,2,3,3,4,1,1.0,1.890664753,,,,,2018,6,17,0,1,16,7.0,0,38.0
8,98038,1,1.0,5,5,3,5,2,4,4,3,3,3,3,2,2,3,2,2,1,1,2,4,2,1.0,2,2,2,1,2,2.0,2,2,1,1.0,2,2,4,2,3,4,4,4,2,2,1,2,1,1,1,2,2,2,1,1,2,2,35,2,3,3,1,1,2.0,0.602724529,,,,,2018,6,17,5,3,22,10.0,5,80.0
9,98008,1,1.0,1,3,3,2,2,2,1,3,4,2,3,1,2,4,1,1,1,1,1,3,2,2.0,2,2,2,1,2,2.0,2,2,1,2.0,2,2,4,3,4,4,4,4,1,1,2,2,2,2,2,2,2,2,2,1,2,2,20,1,3,2,3,1,2.0,0.98247831,,,,,2018,6,17,11,8,18,8.0,3,81.0
10,98028,1,1.0,5,5,5,2,5,4,2,4,4,4,2,1,2,2,2,1,1,1,1,2,2,1.0,2,2,2,2,2,2.0,1,1,1,2.0,2,4,4,4,4,4,4,4,1,1,1,1,2,2,2,2,1,2,2,2,2,2,46,2,3,3,3,1,2.0,0.756265901,,,,,2018,6,17,0,2,15,10.0,0,47.0
11,98038,2,,5,5,5,5,5,3,3,3,3,3,1,1,1,1,2,1,1,1,1,1,1,1.0,2,2,2,2,2,2.0,1,1,2,2.0,2,4,4,4,2,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,78,4,4,3,1,1,2.0,6.422862646,,,,,2018,6,17,0,5,11,10.0,10,76.0
12,98122,1,3.0,5,5,5,5,5,4,2,4,4,4,2,2,2,2,1,1,1,1,2,2,2,1.0,2,2,2,1,2,2.0,1,1,1,1.0,1,4,4,4,4,4,4,4,1,1,1,2,1,1,1,2,2,1,1,1,2,2,34,1,3,3,1,2,1.0,0.514611982,,,,,2018,6,17,0,2,16,13.0,0,28.5
13,98118,2,,4,5,5,5,5,3,4,3,4,3,2,1,1,2,2,2,1,1,1,2,2,1.0,2,2,2,1,2,2.0,2,2,1,1.0,2,4,4,4,4,4,4,4,2,2,2,2,1,1,1,2,1,1,1,1,2,2,43,2,4,3,2,1,1.0,0.498098705,,,,,2018,6,17,1,3,15,10.0,0,50.0
14,98029,1,1.0,3,5,2,2,3,3,4,4,4,4,2,2,2,2,1,1,1,1,1,2,2,1.0,2,2,2,2,2,2.0,2,2,2,2.0,2,3,4,4,4,4,4,4,2,2,2,2,1,1,1,2,2,2,1,1,2,1,30,1,4,3,2,1,2.0,0.763773363,,,,,2018,6,17,7,1,15,7.0,1,54.0
15,98148,2,,5,5,5,5,5,3,2,3,3,3,2,2,2,3,2,2,2,2,2,2,2,1.0,2,2,2,1,2,2.0,1,1,1,1.0,2,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,29,1,3,3,1,2,2.0,0.514611982,,,,,2018,6,17,0,6,21,12.0,0,31.5
16,98052,1,1.0,5,5,3,2,3,3,2,3,4,3,2,1,2,2,1,1,1,1,1,2,2,1.0,2,2,2,1,2,2.0,2,2,1,2.0,2,3,3,2,3,4,3,4,1,1,1,1,1,1,1,2,1,2,2,2,2,2,37,2,3,4,5,1,2.0,1.831061862,,,,,2018,6,17,4,5,14,9.0,6,72.0
17,98031,2,,5,5,5,5,5,4,2,4,4,4,1,1,1,1,1,1,1,1,1,1,2,1.0,2,2,2,1,2,2.0,1,1,1,1.0,1,4,4,4,4,4,4,4,2,2,2,1,2,2,2,2,2,2,2,2,2,2,35,2,1,2,1,1,2.0,1.963444349,,,,,2018,6,17,0,2,10,13.0,0,51.0
18,98003,2,,5,5,5,5,5,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,2,2.0,1,2,2,2,2,2.0,2,2,1,2.0,2,4,4,4,4,4,4,4,1,1,1,2,2,1,1,2,2,1,1,1,2,2,62,3,3,2,2,1,2.0,0.591164704,,,,,2018,6,17,0,0,10,8.0,0,34.0
19,98144,2,,5,5,5,5,5,3,1,4,4,3,3,1,2,3,2,1,1,1,1,2,2,1.0,2,2,2,2,2,2.0,2,2,1,1.0,1,4,4,2,4,4,4,4,1,1,1,1,1,1,1,2,1,1,1,1,2,2,29,1,3,3,1,2,1.0,0.514611982,,,,,2018,6,17,0,5,17,10.0,2,29.0
20,98011,1,3.0,3,3,5,2,3,3,2,4,4,3,2,1,1,3,2,1,1,2,2,2,2,1.0,2,2,2,2,2,2.0,2,2,1,2.0,2,3,3,3,4,4,4,4,2,2,2,1,2,2,2,2,2,1,2,2,2,2,32,1,3,2,3,1,3.0,0.521126057,,,,,2018,6,17,6,4,17,8.0,3,66.0
21,98101,1,1.0,1,1,1,1,1,3,3,2,3,2,2,2,1,1,1,1,1,1,1,3,2,1.0,2,2,1,2,2,1.0,1,1,2,1.0,1,3,3,2,3,3,4,4,1,1,2,2,1,1,1,2,1,1,2,2,2,1,33,1,3,4,5,1,1.0,1.600093432,,,,,2018,6,17,16,7,14,13.0,6,110.0
22,98155,1,3.0,5,5,5,5,5,4,2,4,4,2,2,1,1,1,1,1,1,1,1,3,2,1.0,1,2,2,2,2,2.0,2,2,1,1.0,2,4,4,4,4,4,4,4,2,2,2,1,2,2,2,2,2,2,2,2,2,1,51,3,3,1,4,1,2.0,1.528801439,,,,,2018,6,17,0,4,13,10.0,0,47.0
23,98104,3,,5,5,5,2,5,4,1,4,4,4,3,1,3,3,1,1,1,1,2,2,2,1.0,2,2,2,2,2,1.0,2,2,1,2.0,2,4,4,3,4,4,4,4,1,1,1,1,2,2,1,1,1,2,1,1,2,1,38,2,2,1,1,3,1.0,0.908284711,,,,,2018,6,17,0,3,18,9.0,1,25.5
24,98007,1,1.0,1,5,5,5,4,3,1,2,4,2,2,1,1,1,1,1,1,1,1,3,2,1.0,2,2,1,1,2,1.0,1,1,1,1.0,1,2,4,3,3,4,4,4,1,1,1,1,2,1,1,2,2,2,1,1,2,1,31,1,3,4,3,1,2.0,0.533364477,,,,,2018,6,17,5,8,13,15.0,4,88.0
25,98003,1,1.0,4,3,5,5,5,4,3,3,4,4,2,2,1,3,2,1,1,2,2,4,2,1.0,2,1,1,1,2,1.0,1,1,2,1.0,2,4,3,3,4,4,4,4,1,2,1,2,1,2,2,1,1,1,2,1,2,2,19,1,2,2,4,2,2.0,0.742724986,,,,,2018,6,17,3,2,20,14.0,2,38.0
26,98168,2,,5,5,5,5,5,4,2,4,4,4,3,1,1,1,1,1,1,1,1,1,2,1.0,2,2,2,2,2,2.0,2,2,2,2.0,2,4,4,4,4,4,4,4,2,2,2,1,2,2,2,2,2,2,2,2,2,2,73,4,3,3,2,1,2.0,0.788583249,,,,,2018,6,17,0,2,12,7.0,0,35.0
27,98391,1,1.0,5,5,4,3,5,3,1,3,4,3,2,1,1,1,1,1,1,1,1,2,2,1.0,2,2,1,1,2,1.0,1,1,1,1.0,2,4,4,4,4,4,4,4,2,2,2,1,1,1,1,2,2,2,1,1,2,1,42,2,3,4,2,1,2.0,0.695852517,,,,,2018,6,17,1,6,12,14.0,0,62.0
28,98102,1,1.0,2,2,2,5,1,2,4,2,3,2,3,2,3,3,2,1,1,1,1,3,2,2.0,2,2,2,1,2,2.0,2,2,2,2.0,2,2,2,2,3,3,3,3,2,2,1,2,2,1,2,2,2,2,1,1,2,2,37,2,3,4,2,1,1.0,0.617983378,,,,,2018,6,17,13,7,20,7.0,10,104.0
29,98034,2,,5,5,5,5,5,4,2,4,4,3,2,1,1,2,1,1,1,1,1,2,1,1.0,2,2,2,1,2,2.0,1,1,1,1.0,2,4,4,4,4,4,4,4,1,1,2,1,1,1,1,1,1,1,1,1,2,2,67,4,3,3,3,1,2.0,0.778847653,,,,,2018,6,17,0,3,13,13.0,0,55.0
30,98134,2,,4,2,5,2,5,4,1,3,4,3,2,1,1,1,1,1,1,1,1,1,1,1.0,2,2,2,1,2,1.0,2,2,1,1.0,2,4,4,1,3,4,4,4,2,2,2,2,2,1,2,2,1,2,1,2,2,2,29,1,1,1,2,1,2.0,0.838384123,,,,,2018,6,17,4,5,11,12.0,4,72.0
31,98121,1,4.0,5,5,4,5,5,3,2,4,4,3,2,1,2,2,2,1,1,1,2,2,2,1.0,1,1,1,1,1,2.0,1,1,1,1.0,2,4,4,4,3,3,3,3,2,2,2,2,1,1,2,2,2,2,1,1,2,1,41,2,1,3,2,1,1.0,1.947407315,,,,,2018,6,17,1,4,16,16.0,4,82.0
32,98055,1,1.0,5,5,5,2,5,4,1,3,3,3,2,2,2,3,3,1,1,1,1,2,2,1.0,1,2,2,2,1,1.0,1,1,1,1.0,2,4,4,4,4,4,4,4,1,1,2,1,2,2,2,2,1,2,2,2,2,2,34,1,3,3,1,1,1.0,0.514611982,,,,,2018,6,17,0,6,18,14.0,0,66.0
33,98058,1,1.0,5,5,5,3,5,4,1,4,4,4,3,1,1,1,1,1,1,1,1,1,2,1.0,2,2,2,2,2,2.0,2,2,1,1.0,2,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,1,2,58,3,3,1,2,1,3.0,0.591164704,,,,,2018,6,17,0,3,12,9.0,0,42.0
34,98188,1,1.0,5,5,5,1,5,3,1,4,4,4,3,1,1,2,1,1,1,1,1,2,2,1.0,2,1,2,1,2,1.0,2,2,1,2.0,2,4,4,4,4,4,4,4,2,2,2,1,2,2,2,2,2,2,2,2,2,1,48,2,3,3,2,1,2.0,0.619164583,,,,,2018,6,17,0,4,14,11.0,0,51.0
35,98177,1,1.0,3,3,3,2,3,3,2,2,3,3,2,2,2,2,1,1,1,1,1,2,2,1.0,2,2,2,2,2,1.0,1,1,1,1.0,2,3,3,2,3,3,3,3,2,2,2,2,1,1,2,2,1,1,1,1,2,2,43,2,4,3,3,1,2.0,0.491949338,,,,,2018,6,17,8,7,15,12.0,8,98.0
36,98047,2,,5,5,4,3,4,4,1,4,4,2,1,1,1,1,1,1,1,1,1,1,2,1.0,2,2,2,1,2,1.0,1,1,1,2.0,2,4,4,4,4,4,4,4,1,2,1,2,1,1,1,1,1,1,2,1,2,2,50,3,3,3,1,2,2.0,0.746812577,,,,,2018,6,17,2,5,10,12.0,0,27.5
37,98125,1,1.0,5,5,5,5,5,4,2,4,4,3,2,1,2,3,2,2,1,3,3,2,2,1.0,2,2,2,2,2,1.0,1,1,1,2.0,2,4,4,4,4,4,4,4,2,2,2,2,1,1,1,2,2,2,1,1,2,1,70,4,3,3,3,1,2.0,0.61528162,,,,,2018,6,17,0,3,21,11.0,0,57.0
38,98198,1,1.0,5,5,5,3,5,3,2,4,4,4,1,1,1,1,1,1,1,1,1,1,2,1.0,2,2,2,2,2,2.0,2,2,2,2.0,2,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,2,2,50,3,3,1,3,1,2.0,0.756265901,,,,,2018,6,17,0,3,10,7.0,0,34.0
39,98101,1,5.0,3,5,4,1,4,3,2,3,1,3,3,1,1,1,1,1,1,1,1,1,2,1.0,2,2,1,1,2,2.0,2,2,2,2.0,2,4,4,4,4,4,4,4,2,2,2,1,2,2,2,2,2,2,2,2,2,1,51,3,3,1,1,1,2.0,0.603876568,,,,,2018,6,17,4,8,12,9.0,0,55.0
40,98125,1,1.0,5,5,5,5,5,4,2,4,4,4,1,1,1,1,1,1,1,1,1,1,2,1.0,2,2,2,1,2,2.0,2,2,1,2.0,2,4,4,4,4,4,4,4,2,2,2,1,1,1,1,2,1,1,1,1,2,2,39,2,7,3,3,2,1.0,0.491949338,,,,,2018,6,17,0,2,10,9.0,0,19.5
41,98104,1,1.0,5,5,5,5,5,4,4,4,4,4,2,2,2,3,2,3,2,1,1,2,2,1.0,2,2,2,1,2,2.0,2,2,2,2.0,2,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,1,1,21,1,8,4,1,1,1.0,0.555738544,,,,,2018,6,17,0,0,20,8.0,0,44.0
42,98122,2,,5,5,5,5,5,4,4,4,4,4,1,1,1,2,1,1,1,1,1,1,2,2.0,2,2,2,2,2,2.0,2,2,2,2.0,2,4,4,4,4,4,4,4,2,2,1,2,1,1,1,2,2,1,1,1,2,1,61,3,3,3,1,2,1.0,0.599948481,,,,,2018,6,17,0,0,11,6.0,0,14.5
43,98058,3,,3,5,5,5,3,2,2,2,3,2,3,2,2,2,2,1,1,1,1,3,1,1.0,2,2,2,1,2,2.0,2,2,1,2.0,2,3,2,2,3,3,4,3,2,2,2,1,2,2,2,2,2,2,2,2,2,2,36,2,3,4,3,1,2.0,0.610353954,,,,,2018,6,17,4,9,18,10.0,8,89.0
44,98010,1,1.0,5,5,5,5,5,3,2,3,4,4,2,1,1,3,3,1,1,1,2,1,2,1.0,2,2,2,1,2,1.0,2,2,1,2.0,2,4,4,4,4,4,4,4,2,2,1,1,1,1,1,2,2,1,1,1,2,1,26,1,7,1,2,1,1.0,0.763773363,,,,,2018,6,17,0,4,16,10.0,0,50.0
45,98118,1,3.0,5,5,5,5,5,4,3,4,4,4,1,1,1,2,1,1,1,1,1,1,2,1.0,2,2,2,2,2,2.0,2,2,2,2.0,2,4,4,4,3,3,4,4,1,1,1,2,1,1,2,2,2,2,1,1,2,2,21,1,3,1,2,2,2.0,0.994759289,,,,,2018,6,17,0,1,11,7.0,2,19.5
46,98003,1,1.0,5,5,5,3,5,3,1,4,4,3,1,1,1,2,1,1,1,1,2,2,2,1.0,2,2,2,1,2,2.0,2,2,1,2.0,2,4,4,4,3,3,4,4,2,2,2,1,2,1,1,2,1,2,1,1,2,2,43,2,2,2,2,1,1.0,1.284637437,,,,,2018,6,17,0,5,13,9.0,2,51.0
47,98168,1,1.0,5,5,5,5,5,4,2,4,4,4,2,1,1,2,2,1,1,1,1,2,1,1.0,2,2,2,2,2,2.0,2,2,1,2.0,2,4,4,4,4,4,4,4,1,2,1,2,1,1,1,2,1,1,1,1,2,2,48,2,5,2,3,1,1.0,1.642569739,,,,,2018,6,17,0,2,14,9.0,0,43.0
48,98058,1,1.0,2,3,3,3,3,4,2,3,4,3,1,1,1,1,1,1,1,1,3,1,2,1.0,2,2,2,1,2,1.0,2,2,1,2.0,2,3,4,3,3,3,4,4,2,2,2,2,2,2,2,2,1,1,1,1,2,2,35,2,3,2,2,1,1.0,0.617983378,,,,,2018,6,17,9,4,12,10.0,4,76.0
49,98045,1,1.0,4,4,4,3,5,4,2,4,4,4,4,2,1,1,1,1,1,1,1,2,2,1.0,2,1,2,1,2,1.0,1,1,1,2.0,2,4,3,4,3,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,2,2,23,1,2,2,1,2,1.0,0.293376369,,,,,2018,6,17,3,2,15,13.0,2,34.0
50,98166,2,,5,5,5,5,5,4,4,4,4,4,1,1,1,2,1,1,1,1,1,1,2,1.0,2,1,2,1,1,2.0,1,1,2,2.0,2,4,4,4,4,4,4,4,1,1,1,2,1,1,1,2,1,1,1,1,2,1,74,4,3,3,1,1,2.0,0.6075906,,,,,2018,6,17,0,0,11,12.0,0,47.0
